岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉产品设计、数据分析、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,硕士,18487,33307
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Django、Flask、Python等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,硕士,10090,17204
数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉SQL、Tableau、Excel等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,大专,8681,13637
销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉客户关系、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,大专,7243,13080
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉K8s、监控、Linux等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,大专,11171,17648
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Node.js、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,大专,6760,11378
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉统计学、Python、Excel等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,硕士,16383,27864
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉监控、Linux、K8s等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,大专,7762,12943
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、交互设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,硕士,12631,21440
全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Node.js、React、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,硕士,12541,20777
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉缺陷管理、测试、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,大专,8869,14440
数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉SQL、Tableau、Excel等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,硕士,10131,16849
财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Excel、财务分析、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,硕士,11813,18036
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Python、统计学、SQL等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,本科,10012,15644
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉数据分析、产品设计、Axure等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,博士,23094,38196
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉Axure、数据分析、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,硕士,26674,42086
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Django、Python、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,博士,7272,12744
运维工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Docker、Linux、K8s等相关技术，具备良好的沟通能力和团队协作精神。,广州,500-1000人,博士,6878,12454
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉活动策划、运营、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,大专,5000,7000
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉HTML、TypeScript、CSS等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,博士,17808,32381
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉用户研究、产品设计、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,大专,13792,23930
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉进度控制、风险控制、项目管理等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,硕士,17670,29951
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Flask、Redis、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,本科,10045,17085
全栈开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉React、MySQL、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,博士,25206,41679
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉机器学习、算法、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,硕士,39192,67647
Python开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、FastAPI、Redis等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,硕士,9554,15353
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉活动策划、数据分析、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,大专,6519,11025
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉业绩目标、商务谈判、客户关系等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,大专,13589,20798
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Linux、Docker、运维等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,17481,29196
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Vue、React、HTML等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,本科,6275,11443
全栈开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉MongoDB、React、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,本科,9393,17393
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉CSS、HTML、Vue等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,博士,9284,15620
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉活动策划、渠道拓展、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,大专,14077,24637
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉产品设计、Axure、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,硕士,14725,24485
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉UI设计、交互设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,硕士,14031,22075
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉文档编写、客户沟通、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,博士,16388,28426
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉活动策划、市场营销、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,本科,11815,21531
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉CSS、TypeScript、HTML等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,大专,5041,9661
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Docker、监控、Linux等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,本科,9421,16717
